term,A,B,C
bed,0.317008,10.692894,0.734071
cat,0.14395,6.941048,0.333333
doorway,0.137983,6.653366,0.319518
just,0.177461,7.244063,0.410933
lie,0.137983,6.653366,0.319518
like,0.165049,6.737401,0.382192
moving,0.14395,6.941048,0.333333
night,0.205258,8.378738,0.4753
pleasant,0.133356,6.430222,0.308802
remained,0.14395,6.941048,0.333333
remembered,0.133356,6.430222,0.308802
room,0.253183,8.540027,0.586276
rooms,0.247217,10.091528,0.572461
sense,0.14395,6.941048,0.333333
shut,0.129575,6.247901,0.300046
spider,0.133356,6.430222,0.308802
spot,0.129575,6.247901,0.300046
sprang,0.129575,6.247901,0.300046
wasted,0.14395,6.941048,0.333333
worry,0.137983,6.653366,0.319518
